"YEAR","SAMPLE","SERIAL","CBSERIAL","HHWT","CLUSTER","STRATA","GQ","PERNUM","PERWT","NCHILD","SEX","AGE","MARST","RACE","RACED","HISPAN","HISPAND","EDUC","EDUCD","EMPSTAT","EMPSTATD","INCWAGE","VETSTAT","VETSTATD"
2023,202301,1472,2023010069599,8100.0,2023000014721,120201,4,1,8100.0,0,1,19,6,1,100,0,0,6,65,1,12,4500,1,11
2023,202301,2120,2023010102972,648.0,2023000021201,140401,4,1,648.0,0,2,21,6,1,100,0,0,7,71,1,10,5500,1,11
2023,202301,2282,2023010110952,6642.0,2023000022821,240001,4,1,6642.0,0,2,18,6,1,100,0,0,6,63,1,14,24000,1,12
2023,202301,3578,2023010171383,43578.0,2023000035781,80001,4,1,43578.0,0,1,21,6,1,100,0,0,6,63,1,14,26000,1,12
2023,202301,3902,2023000014636,11988.0,2023000039021,150201,1,1,11826.0,2,2,44,4,1,100,0,0,6,65,1,10,40000,1,11
2023,202301,3902,2023000014636,11988.0,2023000039021,150201,1,2,13770.0,2,1,43,4,1,100,0,0,6,64,1,10,70000,1,11
2023,202301,3902,2023000014636,11988.0,2023000039021,150201,1,3,26568.0,0,1,24,6,1,100,0,0,8,81,1,10,60000,1,11
2023,202301,4388,2023000047949,17820.0,2023000043881,10001,1,1,17982.0,0,1,23,6,2,200,0,0,7,71,1,10,30000,1,11
2023,202301,4388,2023000047949,17820.0,2023000043881,10001,1,2,3888.0,0,2,58,4,2,200,0,0,7,71,1,10,5000,1,11
2023,202301,4550,2023000059143,23652.0,2023000045501,170001,1,1,23490.0,2,1,52,1,1,100,0,0,7,71,1,10,118000,2,20
2023,202301,4550,2023000059143,23652.0,2023000045501,170001,1,2,32886.0,2,2,51,1,1,100,0,0,6,65,1,10,75000,1,11
2023,202301,4550,2023000059143,23652.0,2023000045501,170001,1,3,47304.0,0,2,18,6,1,100,0,0,5,50,1,10,17000,1,11
2023,202301,4712,2023000070225,21546.0,2023000047121,180101,1,2,57510.0,0,1,21,6,2,200,0,0,7,71,1,10,24000,1,13
2023,202301,5198,2023000102103,2592.0,2023000051981,10001,1,1,2592.0,0,2,54,1,1,100,0,0,11,114,1,10,51000,1,11
2023,202301,5198,2023000102103,2592.0,2023000051981,10001,1,2,1944.0,0,1,55,1,1,100,0,0,6,63,1,10,0,1,11
2023,202301,5198,2023000102103,2592.0,2023000051981,10001,1,4,5670.0,0,2,20,6,1,100,0,0,6,65,1,10,1200,1,11
2023,202301,5360,2023000113571,2592.0,2023000053601,190101,1,1,2592.0,0,1,60,1,2,200,0,0,6,63,1,10,27100,1,11
2023,202301,5360,2023000113571,2592.0,2023000053601,190101,1,2,6642.0,0,2,55,1,2,200,0,0,6,63,1,10,32000,1,11
2023,202301,6332,2023000176284,5184.0,2023000063321,60001,1,1,5184.0,2,2,62,1,1,100,0,0,6,63,1,12,8000,1,11
2023,202301,6332,2023000176284,5184.0,2023000063321,60001,1,3,9558.0,0,2,32,6,1,100,0,0,8,81,1,10,41000,1,11
2023,202301,6332,2023000176284,5184.0,2023000063321,60001,1,4,6156.0,0,2,27,6,1,100,0,0,6,65,1,10,30000,1,11
2023,202301,6494,2023000187403,11502.0,2023000064941,170001,1,1,11664.0,0,2,57,4,1,100,0,0,8,81,1,10,30,1,11
2023,202301,6656,2023000198641,32724.0,2023000066561,280101,1,1,32724.0,0,1,50,4,1,100,0,0,6,65,1,10,79000,1,11
2023,202301,7142,2023000232699,1134.0,2023000071421,250001,1,1,1296.0,0,1,54,4,1,100,0,0,6,64,1,10,70000,1,11
2023,202301,7304,2023000244804,15066.0,2023000073041,110001,1,1,15066.0,1,2,41,4,2,200,0,0,8,81,1,10,40000,1,11
2023,202301,7952,2023000288609,3726.0,2023000079521,230001,1,1,3564.0,1,1,57,1,1,100,0,0,4,40,1,10,40000,1,11
2023,202301,8114,2023000298245,19278.0,2023000081141,10001,1,1,19440.0,2,1,39,3,1,100,0,0,7,71,1,10,480000,2,20
